Player_Id,First_Name,Last_Name,Country,Gender,Age,Betting_Platform_Tenure,Game_Genre,Daily_playtime,Bet_frequency,Average_bet,Total_bet,Withdraw_Frequency,Welcome_bonus,Other_bonus,Max_win,Avg_profit,Max_loss
687509,Brian,Manning,Brazil,Male,65,6-12 months,Cricket,2 - 4 hours,Weekly,4981,79,Daily,69,127,9462,5486,118336
892747,Brian,Wright,India,Male,45,More than a year,Cricket,2 - 4 hours,Weekly,6568,125,Daily,173,556,720,2942,100894
885199,Hunter,Skinner,India,Male,62,1-3 months,Football,2 - 4 hours,Weekly,7435,104,Weekly,14,228,6310,1790,110118
585732,Michael,Johnson,India,Male,24,Less than a month,Cricket,1 - 2 hours,Monthly,7115,82,Weekly,29,351,24393,5361,27716
787863,Denise,Garcia,Mexico,Male,71,More than a year,Cricket,4 - 6 hours,Weekly,2087,103,Weekly,37,358,3743,3729,86754
170999,Brandon,Fernandez,Brazil,Male,47,1-3 months,Basketball,4 - 6 hours,Monthly,3542,1079,Monthly,134,98,2843,4719,39892
1023919,Jared,Oliver,India,Female,69,3-6 months,Cricket,4 - 6 hours,Monthly,6221,125,Weekly,82,367,15365,3705,75711
969838,Karen,Robertson,Argentina,Female,45,More than a year,Other,4 - 6 hours,No,13018,77,Weekly,124,555,4314,3888,37229
632511,Todd,Walker,Brazil,Male,77,Less than a month,Virtual Games,4 - 6 hours,Occasionally,1587,53,Weekly,123,294,13446,2097,79212
800142,Charles,Thompson,Brazil,Male,69,Less than a month,Avitaor,2 - 4 hours,Weekly,378,75,Weekly,18,150,13083,2022,100493
214002,Patrick,Wright,India,Male,67,Less than a month,Cricket,2 - 4 hours,Daily,51839,74,Daily,92,146,53228,4595,113949
886998,Aaron,Stephenson,Brazil,Male,58,1-3 months,Avitaor,Less than 1 hour,Occasionally,9052,100,Daily,95,463,15298,9658,109527
806370,Erin,Thompson,Argentina,Male,66,More than a year,Cricket,2 - 4 hours,Weekly,8869,86,Daily,96,545,6862,3443,169852
718278,Cheryl,Aguirre,India,Male,72,More than a year,Basketball,More than 6 hours,Daily,4660,133,Monthly,245,298,35800,3124,136907
960887,Lisa,Cox,Mexico,Female,74,Less than a month,Cricket,Less than 1 hour,Daily,49842,97,Monthly,214,412,44554,3254,23242
575357,Michelle,Frey,India,Female,78,Less than a month,Cricket,1 - 2 hours,Weekly,110001,106,Weekly,21,253,48518,3032,44581
1043402,Jason,Barnett,India,Male,64,Less than a month,Basketball,4 - 6 hours,No,8366,611,Monthly,8,558,16060,3157,34581
143135,Leslie,Thompson,Brazil,Female,70,Less than a month,Other,1 - 2 hours,Occasionally,11988,101,Weekly,264,545,32749,2097,52203
487740,Scott,Wilkinson,Brazil,Female,64,Less than a month,Cricket,2 - 4 hours,Occasionally,44441,118,Monthly,43,443,48688,1245,41507
229372,Margaret,Barton,India,Male,68,1-3 months,Basketball,4 - 6 hours,Monthly,5462,79,Daily,221,76,62456,1002,46389
861452,Kellie,Nguyen,Mexico,Male,70,1-3 months,Cricket,More than 6 hours,Monthly,29609,32,Rarely/Never,292,510,14214,2079,119730
569513,Michelle,Hall,India,Male,28,Less than a month,Cricket,Less than 1 hour,Monthly,7257,56,Rarely/Never,58,242,27426,3628,121738
384310,Robert,Hunter,India,Male,65,1-3 months,Cricket,2 - 4 hours,Occasionally,5318,960,Daily,52,46,6785,5382,61409
670376,Joshua,Mcgrath,Argentina,Male,53,3-6 months,Basketball,2 - 4 hours,Daily,2744,90,Rarely/Never,106,655,3540,7933,54350
327241,John,Brown,Argentina,Male,61,6-12 months,Football,2 - 4 hours,Monthly,30333,19,Monthly,37,399,33148,5330,97078
402159,Bradley,Thompson,India,Male,72,1-3 months,Football,More than 6 hours,Monthly,10893,94,Monthly,166,98,130619,1992,104117
964751,Albert,Gutierrez,Argentina,Male,54,6-12 months,Cricket,2 - 4 hours,Daily,6486,124,Monthly,136,238,73206,3848,48019
69634,Jason,English,Argentina,Male,21,3-6 months,Football,2 - 4 hours,Daily,4286,140,Monthly,84,82,6000,2798,93624
332826,Micheal,Myers,Argentina,Male,42,1-3 months,Cards,2 - 4 hours,Daily,18230,64,Monthly,146,192,5385,4372,153741
993791,Arthur,Townsend,Argentina,Female,72,1-3 months,Cricket,2 - 4 hours,Daily,2095,96,Monthly,89,229,3437,2689,144083
642160,Perry,Thompson,Brazil,Female,55,More than a year,Cricket,2 - 4 hours,Monthly,2407,82,Monthly,67,226,5565,1174,91625
663788,Michael,Huber,India,Male,47,More than a year,Cricket,4 - 6 hours,No,2314,107,Weekly,425,292,16450,4347,63435
236071,Justin,Knapp,Mexico,Female,62,6-12 months,Virtual Games,1 - 2 hours,Daily,36207,81,Rarely/Never,455,84,22645,453,74364
804440,Alexander,Gilbert,Argentina,Female,58,1-3 months,Cricket,Not using per day.,Monthly,47275,94,Daily,260,122,37618,2453,104112
593398,Brian,Hurst,Brazil,Female,67,Less than a month,Cricket,2 - 4 hours,Occasionally,14,132,Monthly,39,636,58850,2153,178573
211030,Jon,Dillon,Brazil,Female,64,1-3 months,Football,2 - 4 hours,Daily,28600,48,Monthly,274,628,15571,3029,147540
577574,Susan,Nash,India,Male,37,1-3 months,Virtual Games,4 - 6 hours,Weekly,5514,91,Monthly,122,221,12554,1496,63626
949887,Thomas,Johnson,Brazil,Male,35,3-6 months,Virtual Games,2 - 4 hours,Daily,3440,123,Monthly,173,235,79780,4189,41525
845733,Leslie,Castro,India,Female,40,1-3 months,Cricket,2 - 4 hours,Monthly,10074,96,Monthly,53,130,42482,3817,111391
704908,Katherine,Sherman,Mexico,Male,59,6-12 months,Cricket,2 - 4 hours,Occasionally,4391,27,Daily,423,476,14860,4189,50926
549846,Nicholas,Barnett,India,Male,36,More than a year,Cricket,More than 6 hours,Monthly,8373,114,Monthly,256,537,18073,4341,87297
861508,Nichole,Robertson,India,Female,53,Less than a month,Baseball,1 - 2 hours,Monthly,794,50,Daily,365,96,38432,6432,29110
489794,Kelly,Thompson,Argentina,Male,65,Less than a month,Basketball,1 - 2 hours,Weekly,25577,103,Rarely/Never,905,317,24186,5034,15167
253042,Samantha,Nielsen,Mexico,Male,73,6-12 months,Basketball,2 - 4 hours,No,1907,12,Monthly,26,283,16832,4999,174652
787406,Samuel,Adams,Brazil,Male,49,Less than a month,Cricket,2 - 4 hours,Weekly,3320,118,Monthly,179,154,10195,348,108604
619579,Jeffrey,Morris,India,Male,25,Less than a month,Cricket,4 - 6 hours,Monthly,4333,39,Monthly,61,247,4018,4215,167998
344752,Anthony,Gibbs,Argentina,Female,55,3-6 months,Other,2 - 4 hours,Daily,7372,90,Weekly,98,251,31500,3522,29051
589202,Travis,Garrett,Argentina,Male,77,3-6 months,Basketball,Not using per day.,Monthly,10737,251,Weekly,31,241,58738,3017,151296
402157,Steven,Rivera,India,Female,30,More than a year,Basketball,2 - 4 hours,Weekly,24561,129,Monthly,83,185,4194,8608,83690
304916,Scott,Adams,India,Male,76,3-6 months,Virtual Games,2 - 4 hours,Monthly,6553,614,Daily,91,574,43965,1857,55409
265075,Mary,Baker,India,Female,31,Less than a month,Baseball,Less than 1 hour,Weekly,1439,130,Daily,32,225,73902,3124,52502
262391,Tiffany,Fernandez,India,Male,44,More than a year,Basketball,2 - 4 hours,Weekly,4365,69,Monthly,88,317,20726,1667,134448
715920,Frederick,Barrett,Mexico,Female,55,1-3 months,Football,2 - 4 hours,Weekly,2604,135,Weekly,139,505,45631,7348,94858
871011,Lisa,Frey,India,Male,31,1-3 months,Cricket,Less than 1 hour,Daily,2888,49,Rarely/Never,8,649,24973,6537,21093
796784,Rebecca,Townsend,India,Male,69,Less than a month,Basketball,2 - 4 hours,Weekly,64398,132,Weekly,4637,237,3013,312,73613
549479,Carol,Kennedy,Brazil,Male,57,More than a year,Virtual Games,1 - 2 hours,Weekly,1986,121,Monthly,362,4,65903,4914,45695
708376,Kristen,Schneider,Brazil,Female,30,More than a year,Football,1 - 2 hours,Weekly,26712,107,Monthly,82,17,9910,167,135867
707847,Brandon,Snyder,India,Male,70,6-12 months,Cricket,Less than 1 hour,Monthly,9080,95,Monthly,255,45,25683,4255,144562
1081861,Theresa,Brown,India,Male,62,More than a year,Cricket,4 - 6 hours,Monthly,2260,110,Daily,31,731,9647,3310,40284
699044,Tiffany,Miller,India,Male,59,1-3 months,Football,1 - 2 hours,Weekly,10642,85,Rarely/Never,68,138,15830,4863,71533
281729,Angela,Jones,India,Male,75,More than a year,Cricket,2 - 4 hours,Daily,302,89,Rarely/Never,165,575,40496,3543,107041
261298,Nathan,Perry,India,Female,63,Less than a month,Cricket,Less than 1 hour,Monthly,8913,78,Daily,94,224,85025,3751,85689
625374,Diane,Cooper,India,Female,70,More than a year,Cricket,Not using per day.,Monthly,10498,37,Monthly,43,252,21457,1318,73624
257182,Zachary,Berger,India,Male,45,More than a year,Cricket,More than 6 hours,Weekly,41505,121,Monthly,338,87,37154,3220,33914
811632,Crystal,Hamilton,Brazil,Female,49,Less than a month,Cricket,2 - 4 hours,Occasionally,20253,798,Daily,175,57,52250,1270,52079
602791,Ariel,Harris,India,Female,73,3-6 months,Basketball,1 - 2 hours,Weekly,8499,136,Monthly,236,624,23771,16,83946
503728,Krista,Villarreal,India,Male,68,Less than a month,Football,1 - 2 hours,Daily,11305,112,Weekly,190,147,12530,6574,54599
767679,Brittany,Adams,India,Female,57,1-3 months,Baseball,More than 6 hours,Weekly,3728,132,Daily,7,132,40791,2662,104845
