Customer_id,First_name,Last_name,Country,Gender,Withdraw_frequency,Age,Winning_percentage,Days_Since_Last_Bet,Income_Level_(k),Total_Amount_wagered,Average_Bet_Amount,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_bets_after_bonus,Increase_in_wagering_after_bonus,Should_Receive_Bonus
606778,Tammy,Robinson,Mexico,Female,0.75,0.980769230769231,0.9594594594594597,0.05263157894736842,0.8414001565777299,0.10411859589830248,0.6541005291005291,0.39655172413793105,0.625,0.6823230597154042,0.59375,0.7670454545454545,0.9453736430194395,0.32205882352941173,0.3760887908977081,0.0
882088,Timothy,Smith,Argentina,Male,0.75,0.4423076923076924,0.8783783783783785,0.15789473684210525,0.54438811181492,0.7391043858975344,0.48478835978835977,0.4051724137931034,0.40277777777777773,0.0,0.359375,0.31676136363636365,0.9400719515273921,0.6602941176470588,0.28664461865098806,0.0
823104,Mary,Mckinney,Mexico,Female,0.75,0.6346153846153847,0.20270270270270271,0.10526315789473684,0.39018835379868444,0.18633689223442662,0.5826719576719577,0.4396551724137931,0.2916666666666667,0.6281846144286336,0.46875,0.18181818181818182,0.5782946225700581,0.5102941176470588,0.516760574881594,0.0
243455,Sarah,White,India,Female,1.0,0.3846153846153847,0.972972972972973,0.4736842105263158,0.31044256234849843,0.01818880098317843,0.18187830687830686,0.034482758620689655,0.625,0.32796091468340277,0.328125,0.34659090909090906,0.49649709669275444,0.486764705882353,0.4213824922423649,1.0
485861,Edward,Stephenson,Brazil,Male,0.75,0.6346153846153847,0.14864864864864866,0.3157894736842105,0.8039889642006371,0.08288194177740227,0.7242063492063492,0.3879310344827586,0.5416666666666665,0.5780541229105822,0.5,0.3991477272727273,0.4121749558192376,0.7426470588235294,0.5438442484620829,1.0
260647,Robert,Graves,India,Female,1.0,0.28846153846153855,0.8243243243243243,0.42105263157894735,0.5940910746507352,0.03593517167217144,0.31547619047619047,0.05172413793103449,0.2638888888888889,0.33816721555956003,0.25,0.2954545454545454,0.502808634183287,0.5573529411764706,0.799274593064402,1.0
230284,Philip,Wilson,India,Female,1.0,0.7692307692307693,0.28378378378378377,0.07894736842105263,0.04390874951331114,0.3215976649512251,0.7493386243386243,0.05172413793103449,0.5694444444444444,0.6257301311129062,0.515625,0.8607954545454545,0.6860956829083565,0.7250000000000001,0.3946254559311885,0.0
369743,Jason,Tran,Mexico,Male,0.0,0.8653846153846155,0.9324324324324325,0.39473684210526316,0.22671115595393088,1.0,0.576058201058201,0.0,0.4583333333333333,0.609900267196918,0.765625,0.1789772727272727,0.17157914668013127,0.14558823529411763,0.4632737220316838,1.0
718771,Sean,Cox,Mexico,Female,0.25,0.3846153846153847,0.10810810810810811,0.42105263157894735,0.5105606236315147,0.24471311160611414,0.6501322751322751,0.05172413793103449,0.20833333333333331,0.4362533399614739,0.296875,0.6803977272727273,0.40864049482453924,0.43676470588235294,0.5852183025749905,1.0
208052,Katherine,Newton,Mexico,Male,0.75,0.7115384615384616,0.5270270270270271,0.3157894736842105,0.13403723535642365,0.21949458483754514,0.8604497354497355,0.4051724137931034,0.6527777777777777,0.3643897968060648,0.609375,0.5085227272727273,0.4669591012370614,0.5161764705882353,0.8390699003756329,0.0
889037,Jose,Ward,Mexico,Male,0.5,0.5384615384615385,0.06756756756756757,0.6578947368421052,0.20691705148225514,0.37722098471464777,0.5443121693121693,0.9999999999999999,0.40277777777777773,0.5381765363822779,0.46875,0.609375,0.3945026508457461,0.34558823529411764,0.4216819097392346,1.0
536159,Richard,Johnson,Mexico,Female,0.25,0.8076923076923078,0.20270270270270271,0.8421052631578947,0.024215122729308813,0.9369936247023581,0.707010582010582,0.05172413793103449,0.37499999999999994,0.5032234511899585,0.53125,0.7982954545454545,0.5851110830598334,0.8838235294117647,0.49574691055582776,0.0
416916,Bailey,Myers,Argentina,Female,0.75,0.15384615384615385,0.6621621621621623,0.5,0.032286830305745196,0.02934787618096628,0.45039682539682535,0.3620689655172414,0.20833333333333331,0.6369617224880384,0.34375,0.4161931818181819,0.524015400151477,0.5573529411764706,0.23710463280526978,0.0
177238,Tony,Cook,India,Female,0.5,0.5000000000000001,0.6081081081081081,0.7631578947368421,0.13202768160295397,0.6561487057377678,0.6607142857142857,0.9999999999999999,0.7361111111111112,0.47554060771764123,0.6875,0.6051136363636364,0.5702158545821763,0.5691176470588235,0.7050397408677663,1.0
700477,Jessica,Marshall,Mexico,Female,0.5,0.3653846153846154,0.05405405405405406,0.7894736842105263,0.7993669905676569,0.09789999231891851,0.6421957671957672,0.9999999999999999,0.5694444444444444,0.5205601814453489,0.265625,0.29119318181818177,0.5361335521332997,0.2720588235294118,0.4656962817790843,0.0
468643,Shannon,Davidson,India,Female,0.75,0.826923076923077,0.7972972972972974,0.8157894736842105,0.19703674552769623,0.4689761118365465,0.4173280423280423,0.4051724137931034,0.5416666666666665,0.3432781333499037,0.3125,0.44318181818181823,0.2932655894976016,0.5044117647058823,0.32279247645489684,0.0
761711,Monica,Gaines,India,Female,0.0,0.9230769230769232,1.0,0.4736842105263158,0.25806019450805695,1.0,0.6117724867724867,0.01724137931034483,0.4861111111111111,0.3654150873050395,0.5,0.5582386363636364,0.4427227972734158,0.28970588235294115,0.6718860580325549,0.0
871400,Cassandra,Curtis,Mexico,Female,0.25,0.7115384615384616,0.972972972972973,0.5789473684210527,0.1330659510422466,0.2927413779860204,0.5945767195767195,0.05172413793103449,0.37499999999999994,0.4090676070341142,0.59375,0.7769886363636364,0.4795821762181267,0.6897058823529412,0.6336967172954434,1.0
973427,Stephanie,Campos,Argentina,Male,0.25,0.7884615384615384,0.891891891891892,0.8157894736842105,0.10610443818319593,0.4670097549735002,0.6117724867724867,0.02586206896551724,0.7083333333333333,0.7324846206425153,0.578125,0.5852272727272727,0.4540835647563747,0.4779411764705882,0.6565885459197561,1.0
610198,Martin,Guerrero,Brazil,Female,1.0,0.6538461538461539,0.7702702702702704,0.8684210526315789,0.0556311464085506,0.5058944619402412,0.42394179894179895,0.08620689655172414,0.06944444444444442,0.2201189958366992,0.0,0.15056818181818182,0.6848333754102499,0.7397058823529412,0.41419647231749146,0.0
421535,Jason,Hernandez,Mexico,Male,1.0,0.25,0.6756756756756758,0.6842105263157895,0.01912425322051914,0.4374652431062293,0.29166666666666663,0.09482758620689655,0.31944444444444436,0.455997949419002,0.578125,0.6164772727272727,0.42252587730371116,0.5691176470588235,0.7869712559203005,0.0
